"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"938","Aeshna cyanea",11.609225,48.414514,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-09T19:38:48",NA,"Bayern",2020,8,9,2020-08-09,"DE","07:18:00Z",NA
"939","Aeshna cyanea",5.685511,50.838978,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-11T13:47:08",NA,"Limburg",2020,8,11,2020-08-11,"NL","13:44:12Z",NA
"947","Aeshna cyanea",13.364818,52.401412,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T16:03:40",NA,"Berlin",2020,8,16,2020-08-16,"DE","12:36:00Z",NA
"949","Aeshna cyanea",5.868972,51.011258,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T11:46:19",NA,"Limburg",2020,8,17,2020-08-17,"NL","09:24:24Z",NA
"952","Aeshna cyanea",8.925103,50.028377,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-06T14:27:24",NA,"Hessen",2020,8,5,2020-08-05,"DE","10:15:00Z",NA
"955","Aeshna cyanea",5.981661,51.997403,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-15T10:17:28",NA,"Gelderland",2020,8,15,2020-08-15,"NL","09:47:00Z",NA
"960","Aeshna cyanea",12.404198,47.642332,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-19T18:25:44",NA,"Tirol",2020,8,18,2020-08-18,"AT","14:37:23Z",NA
"962","Aeshna cyanea",5.13697,51.582262,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-17T15:38:43",NA,"Noord-Brabant",2020,8,17,2020-08-17,"NL","10:34:52Z",NA
"971","Aeshna cyanea",8.201845,48.597492,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-05T12:28:54",NA,"Baden-Württemberg",2020,8,5,2020-08-05,"DE","12:27:07Z",NA
"972","Aeshna cyanea",12.749001,47.758898,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-19T16:17:26",NA,"Bayern",2020,8,19,2020-08-19,"DE","16:08:00Z",NA
