"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1452","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.818115,52.33408,NA,"DE","Niedersachsen",1,9,2020,2020-09-01,NA
"1453","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.952137,52.382197,NA,"DE","Nordrhein-Westfalen",2,9,2020,2020-09-02,NA
"1454","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.131751,46.383534,NA,"IT","Veneto",1,9,2020,2020-09-01,NA
"1460","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.123191,53.701642,NA,"DE","Niedersachsen",1,9,2020,2020-09-01,NA
"1462","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.397393,46.153398,NA,"IT","Lombardia",1,9,2020,2020-09-01,NA
"1463","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.570408,46.092125,NA,"SI","Savinjska",1,9,2020,2020-09-01,NA
"1467","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.806697,44.694798,NA,"IT","Piemonte",2,9,2020,2020-09-02,NA
"1480","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.239731,51.990449,NA,"DE","Niedersachsen",8,9,2020,2020-09-08,NA
"1484","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.81608,47.615126,NA,"AT","Steiermark",8,9,2020,2020-09-08,NA
"1487","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.573033,49.062877,NA,"DE","Baden-Württemberg",2,9,2020,2020-09-02,NA
"1493","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.707763,45.907659,NA,"IT","Lombardia",6,9,2020,2020-09-06,NA
"1495","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.029303,45.6465,NA,"IT","Lombardia",9,9,2020,2020-09-09,NA
"1496","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.195534,48.906528,NA,"DE","Baden-Württemberg",6,9,2020,2020-09-06,NA
"1501","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.797329,52.82606,NA,"DE","Brandenburg",3,9,2020,2020-09-03,NA
"1502","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.78329,50.630495,NA,"BE","Wallonie",5,9,2020,2020-09-05,NA
"1504","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.519509,46.654525,NA,"AT","Steiermark",7,9,2020,2020-09-07,NA
